1. Proceso,2. Nombre del Activo,3. Descripción,4. Tipo de Activo,5. Medio de Conservación del Activo,6. Propietario,7. Custodio,8. Respaldo,9. Ubicación,10. Valoracion de Activo - Confidencialidad,10. Valoracion de Activo - Integridad,10. Valoracion de Activo - Disponibilidad,11. ¿El Activo necesita de permisos especiales para acceder?,12. El activo contiene datos personales.,13. Verificar si el activo requiere cumplimiento legal,14. El activo requiere protección especial,15.¿El activo es para uso exclusivo del propietario o responsable?
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 028, comprende el período de octubre de 2016, contiene noticias sobre: ‘Magdalena crece’ con la Planificación agropecuaria; Agricultura familiar se fortalece en Colombia; Financiamiento y comercialización: desafíos del sector agropecuario; Cesar, comprometido con la política agropecuaria; Planificación rural, conocimiento y tecnología para el campo; UPRA en foro ZIDRES, Casanare; En Florencia, Caquetá se validad información de acuicultura; Impuesto predial rural para el desarrollo del campo; Procedimientos agrarios para ordenar el territorio; Minagricultura reafirma compromiso con el Caribe; UPRA en XVIII Congreso de las Ciencias del Suelo; Planificar el campo para saber qué y dónde sembrar; En Cauca se valida zonificación de trucha arco iris; UPRA en octavo Foro Nacional del Agua; Así se planifica la política forestal del país; UPRA en medios",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-028,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 029, comprende el período de noviembre de 2016, contiene noticias sobre: UPRA acompaña Plan de Ordenamiento productivo en Quindío; Colombia Siembra llega al 43% de su meta; Formalización de la Propiedad, la tierra y los bosques; Agronova, Ciencia y tecnología para el sector agropecuario; Diálogo: ordenamiento, ambiente y productividad; UPRA, aliado estratégico para la cooperación internacional; UPRA en los medios",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-029,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 030, comprende el período de diciembre de 2016, contiene noticias sobre: Colombia tiene 38 millones de hectáreas aptas para la avicultura; Bolívar: sí a la planificación del campo; Colombia y su potencial para avicultura en un mapa; 200.000 nuevos empleos genera el Agro; Se reactiva mesa técnica de Agricultura Familiar; UPRA y FAO presentan estado de concentración de la tierra en el país; Diálogo internacional promueve desarrollo rural con enfoque territorial; Planificación para el campo en Expogestión Orinoquia; Gobierno entregó planta de secamiento y almacenamiento de arroz; Mesa técnica promueve fortalecimiento del sector forestal; UPRA y FAO acuerdan por el uso sostenible de la tierra; UPRA en los medios",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-030,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 031, comprende el período de enero de 2017, contiene noticias sobre: Lineamientos para el sector forestal; Avances de la planificación rural agropecuaria en 2016; UPRA y Fenavi comprometidos con el desarrollo de la avicultura; Fondo Biocarbono promoverá un campo sostenible en Colombia; Con Minambiente se define frontera agropecuaria; Planificación rural, gestión territorial y paz en red; Colombia 2030 un referente del crecimiento verde; UPRA en los medios",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-031,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 032, comprende el período de febrero de 2017, contiene noticias sobre: Planificación rural, gestión territorial y paz en red; Colombia 2030 un referente del crecimiento verde; Agronegocios y productividad en el Meta; Atlántico planifica su futuro agropecuario; Con recomendaciones de la OCDE se fortalecerá la pesca y la acuicultura; Atlántico: hacia el ordenamiento rural agropecuario; Avanza Mesa Técnica de Agricultura Familiar y Economía Campesina; Agro contribuye con más de 880 mil ha a la política de reforestación del país; Quindío avanza hacia el ordenamiento rural agropecuario; Agroclimatología para la sostenibilidad; Planificación rural en el año del campo; UPRA e Instituto Humboldt emprenden trabajo conjunto; UPRA en los medios",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-032,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 033, comprende el período de marzo de 2017, contiene noticias sobre: El Meta le apuesta al desarrollo rural agropecuario; Agricultura familiar, la mayor fuente de empleo en el campo; Planificación y Agronegocios en el Cauca; Ordenamiento productivo para el futuro de Cundinamarca; Institucionalidad de tierras del país en la Comisión de Estupefacientes; En marcha ley para la adecuación de tierras; El campo colombiano sabe mejor; Frontera agrícola será fundamental para el futuro del agro; Producción agropecuaria sin deforestación; Zonificación agroclimática para el agro; Diálogo Social para el campo casanareño; Guaviare anfitrión del Ordenamiento Productivo; Hacia la gestión de información para el sector; Zonificaciones de aptitud para el desarrollo agropecuario; UPRA participa en los encuentros por la paz; UPRA en los medios",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-033,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 34, comprende el período de abril de 2017, contiene noticias sobre: Diálogo: ordenamiento y Zonas de Reserva Campesina; Adecuación de tierras, base para la productividad agropecuaria; UPRA participa en jornada de actualización bufalina; Planificación agroclimática para el campo; 9 departamentos planifican su futuro agropecuario; Agronegocios por la paz en el Cauca; Ordenamiento productivo para la pesca y la acuicultura; Pasifloras, hacia el ordenamiento productivo; Plaza de mercado provisional para Mocoa; UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-034,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 35, comprende el período de mayo de 2017, contiene noticias sobre: Ordenamiento Social y Productivo para Magdalena; Caquetá le apuesta a la planificación del campo; Planificación rural en agronegocios Corabastos; Proyecto de Ley de adecuación de tierras en el Congreso; Agromojana, escenario para el desarrollo rural; Inducción a la planificación del ordenamiento productivo en el Meta; Mercado de tierras Rurales en la Cátedra Fullbright; UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-035,0,5,5,NO,NO,No Aplica,NO,NO
Gestión financiera,Técnico administrativo - Gestion financiera,En proceso de revisión,Rol,No Aplica,Gestión Financiera,Secretaria General,No Aplica,Oficina de Financiera,En proceso de revisión,En proceso de revisión,5,NO,NO,No Aplica,No Aplica,No Aplica
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 36, comprende el período de junio de 2017, contiene noticias sobre: Resultados y avances técnicos para la planificación del campo; Zonificación de ganadería de leche y carne en el Cesar; 176 familias boyacenses ya son propietarias legales de sus tierras; Campesinos celebran por primera vez su día tras firmarse la paz; Gobernación de Casanare, MADR y UPRA se unen para orientar el sector agropecuario; Así avanza el ordenamiento departamental en Bolívar; Se consolida la política para la agricultura familiar; Planificación rural y alianzas productivas en el Magdalena; En Congreso del sector palmero se anuncia modelo de zonificación; Taller MADR y UPRA para periodistas «Tierras para Todos»; Agronegocios y para periodistas «Tierras para Todos»; Agronegocios y para periodistas «Tierras para Todos»; Agronegocios y planificación rural en Córdoba; MinAgricultura explicó los beneficios del Decreto Ley de tierras; Diálogo en Cesar sobre Ley de tierras; Avanza formulación del Plan Nacional de Adecuación de Tierras entre UPRA y TRAGSA; Revista ganadera destaca avances en la planificación rural agropecuaria; UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-036,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 37, comprende el período de julio de 2017, contiene noticias sobre: ESPACIO DE DIÁLOGO CON NUESTROS USUARIOS; Los contratos en el campo dejarán de ser de palabra; Agroexpo 2017, escenario para el lanzamiento de «Contratos agropecuarios»; Agroexpo 2017 sigue adelante, habrá presencia de animales; En Agroexpo 2017: una institucionalidad, fortalecida para 12 millones de campesinos; La UPRA avanza en el proceso de planificación de la pesca marina sostenible; Avanza el plan de acción para la cadena forestal; Gestión del desarrollo rural en Casanare; Avanza la zonificación de aptitud para la producción bovina; Acuerdo por el desarrollo rural agropecuario sostenible; La UPRA participó en la rueda de negocios y encuentros comerciales en la subregión de Urabá (Antioquia); Diálogo con la OIM sobre el Decreto Ley de Tierras; UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-037,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 38, comprende el período de agosto de 2017, contiene noticias sobre: Segunda mesa de trabajo por el desarrollo forestal; Articulación TIC para el Agro; Colombia Siembra más de un millón de hectáreas nuevas; Planificar el agro desde las regiones; Colombia: 16 millones de hectáreas aptas para palma de aceite; Urge implementación del Decreto de tierras; Ponen orden al uso del suelo para «sembrar lo que toca donde toca»; Así funciona el mercado de tierras rurales; UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-038,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 39, comprende el período de septiembre de 2017, contiene noticias sobre: Agronegocios y productividad en Caquetá; MinAgricultura inicia ruta metodológica para construir plan de desarrollo rural en Buenaventura; Integrantes del Centro de Estudios de la Orinoquia se capacitan sobre el SIPRA; Así funciona el mercado de tierras rurales; En expo Agrofuturo productos y herramientas digitales para planificar el campo; Diálogo sobre equidad en la distribución de la tierra rural en Colombia; Ordenar el campo a través del paisaje agropecuario; Datos UPRA con sello de excelencia digital; UPRA presentó zonificación de palma de aceite en la XIV reunión técnica nacional del sector palmero; UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-039,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 40, comprende el período de octubre de 2017, contiene noticias sobre: RAP Caribe, MinAgricultura y UPRA unidos por el desarrollo rural agropecuario de la costa norte colombiana; Presidente Santos nombra como nuevo Ministro de Agricultura a Juan Guillermo Zuluaga; Taller técnico de pasturas como insumo para la zonificación bovina; Entidades del sector rural trabajan para llegar al campo de forma articulada; Agrointeligencia, un desafío tecnológico y analítico; UPRA presenta su publicación: «Unidad agrícola familiar en el ordenamiento jurídico colombiano»; La UPRA apoya la planificación del desarrollo rural agropecuario de la Rap Caribe; UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-040,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 41, comprende el período de noviembre de 2017, contiene noticias sobre: Rendición de cuentas, Segunda jornada de diálogo con nuestros usuarios; Lineamientos de política para plantaciones forestales con fines comerciales; Presentación oficial del libro «Análisis de la distribución de la propiedad rural en el país»; Diálogo institucional y académico sobre ordenamiento rural y urbano; Desafíos de la innovación en el agro; Gestión institucional 2017; Ante el CEI-COT se presenta trabaja por la planificación rural; 34 toneladas de aguacate Hass hacia los Estados Unidos; Se materializa el plan de acción para plantaciones forestales comerciales; Agronova: sector unido trabaja por el renacer del campo; El agro se consolida como motor de la economía; Guaviare comprometido con el desarrollo rural agropecuario; Secretarios de Agricultura del país hacia la planificación del campo; MinAgricultura lanza estrategia ‘Colombia vende’ ; Unidos por el ordenamiento productivo de la pesca marina en el país; Un futuro promisorio para la pesca en Colombia; El agro, fundamental para la construcción de la paz; UPRA en los Medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-041,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 42, comprende el período de diciembre de 2017, contiene noticias sobre: Colombia cuenta con 17 millones de ha con potencial para irrigación con fines agropecuarios; El plan para la adecuación de tierras en Colombia; Así se validó el mapa del potencial para la pesca marina artesanal de camarón; Gobernanza territorial para el renacer del campo; Cadena forestal comercial se perfila como un importante promotor del desarrollo rural; La palma: foco de desarrollo para el renacer del campo; UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/booletin-042,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 2 - 2018, comprende el período de marzo de 2018, contiene noticias sobre: El Huila, modelo de liderazgo territorial para el ordenamiento productivo; Con Minagricultura avanza el proceso de socialización para la constitución de zidres; UPRA y FEDEPAPA reiteran su compromiso por la planificación del sector papero en Colombia; Atlántico avanza en la planificación rural agropecuaria de su territorio; Con el Caquetá avanza la planificación del ordenamiento productivo; Lineamientos de política y plan de acción forestal comercial en Colombia; En Caquetá se utilizan mapas para la acuicultura elaborados por la UPRA; Fortalecer la gobernanza, insumo clave para resolver conflictos de uso, ocupación y tenencia de tierra; La UPRA y la AUNAP trabajan de la mano por la acuicultura colombiana; Noticias del sector; Así ven a la UPRA los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin-02,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 3 - 2018, comprende el período de abril de 2018, contiene noticias sobre: Brasil y Colombia en misión por la agricultura familiar; Jefes de Planeación de entidades del MinAgricultura comprometidos con la implementación de la Política de Ordenamiento Productivo y Social de la Propiedad Rural en Colombia; El Meta trabaja para lograr el desarrollo rural agropecuario; El Cesar planifica su desarrollo rural zonificación ante la junta del Fondo Nacional de la agropecuario en el Consea; La UPRA expone Porcicultura; Con porcicultores se valida la zonificación de aptitud para granjas porcícolas comerciales; Noticias del sector; Así ven a la UPRA los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin-03,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 5 - 2018, comprende el período de junio de 2018, contiene noticias sobre: Frontera Agrícola fundamental para el desarrollo del cultivo de palma de aceite en Colombia; El departamento del Cesar avanza en la planificación del sector rural agropecuario; Con la definición de la Frontera Agrícola, Colombia demuestra que biodiversidad y productividad pueden convivir; Paisaje palmero biodiverso: un compromiso nacional, regional y sectorial; Gremios y agroindustriales fundamentales para el desarrollo de proyectos dentro de las zidres; Letonia conoce avances en la planificación forestal del país; La innovación en el agro se fortalece en alianza con el Reino Unido; Nariño: visión y planificación del ordenamiento productivo; «La declaración de la primera zidres será un acontecimiento histórico»: Víctor Bravo, Alcalde de Puerto López, Meta; UPRA presenta avances de la construcción de la zonificación de aptitud para la ganadería bovina de carne en Colombia; En Cali, Minagricultura y la UPRA participaron en Congreso de Palma de Aceite; UPRA presenta a los empresarios de Puerto López las ventajas y beneficios de las Zidres; Las Zidres se construyen desde el territorio con las comunidades; Noticias del sector; Así ven a la UPRA los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin-05,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 4 - 2018, comprende el período de mayo de 2018, contiene noticias sobre: Consea aliado estratégico en el proceso de constitución de las Zidres; Planificación y gestión de calidad para el manejo sostenible de la tierra; Continúan mesas de jefes de planeación del sector para la concertación del plan de acción de la Política de Ordenamiento productivo y Social de la Propiedad Rural; UPRA presentó al Concejo Municipal de Puerto López áreas potenciales para delimitar la primera Zidres; UPRA presenta ante la gobernación del Huila la zonificación de las 6 alternativas productivas de la acuicultura; Fedepalma y UPRA trabajan de la mano para definir la zonificación de aptitud del cultivo de palma de aceite; UPRA comprometida con la planificación rural de los Llanos Orientales; Las Zidres se construyen desde el territorio; Noticias del sector; Así ven a la UPRA los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin-04,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 6 - 2018, comprende el período de julio de 2018, contiene noticias sobre: UPRA intercambia conocimientos del sector agropecuario con Fundación proyección Eco Social y Universidad de Wisconsin; En Puerto López, integrantes de la Mesa Municipal de Víctimas conocieron los beneficios de las zidres; UPRA socializó con el Consejo Municipal de Desarrollo Rural de Puerto López, los planes que harán posible la primera zidres de Colombia; En marcha actividades de evaluación de tierras en Cundinamarca, a través de acompañamiento de la UPRA; Noticias del sector; Así ven los medios a la UPRA.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin-06,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 7 - 2018, comprende el período de agosto de 2018, contiene noticias sobre: La Política de Adecuación de Tierras, una herramienta para que el agro saque un mejor provecho; Iván Duque Márquez tomó posesión como Presidente de la República 2018-2022; UPRA y Caquetá definen lineamientos para elaboración del plan de ordenamiento productivo y social de la propiedad rural; Andrés Valencia Pinzón tomó posesión como nuevo ministro de Agricultura y Desarrollo Rural; Nuevo Ministro de Agricultura ve en la Frontera Agrícola una herramienta clave para planificación del campo colombiano; Ministro Valencia reitera trabajo con los gremios para recuperar la rentabilidad del sector agropecuario; Análisis de información para planificar el manejo sostenible de la tierra; Noticias del sector; Así ven los medios a la UPRA.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin-07,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 8 - 2018, comprende el período de septiembre de 2018, contiene noticias sobre: Plan Nacional de Desarrollo y agro colombiano, apuntan a productividad y sostenibilidad del sector; UPRA presente en la XIX Conferencia Internacional sobre Palma de Aceite; Geoinformación para planificar el futuro del campo; La UPRA presenta, en el XXVII Congreso Nacional Cerealista y de Leguminosas, la zonificación de aptitud para el cultivo comercial de maíz tecnificado de clima cálido en Colombia; La UPRA rinde cuentas a la ciudadanía; Noticias del sector; Así ven los medios a la UPRA.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin-08,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 10 - 2018, comprende el período de noviembre de 2018, contiene noticias sobre: La UPRA hace presencia en primera feria Chocoshow, una experiencia alrededor del cacao y el chocolate; La planificación rural, punto clave en el ordenamiento territorial de la agricultura colombiana; En Puerto López, Meta, ya se habla de articulación entre zidres y plan básico de ordenamiento territorial; Noticias del sector; Así ven los medios a la UPRA.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin-10,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 1 - 2019, comprende el período de febrero de 2019, contiene noticias sobre: Ordenamiento de la Producción Agropecuaria, una apuesta para el campo; Comienza el ordenamiento de la producción de aguacate Hass; Intercambio de Experiencias en Procesos de Ordenamiento Territorial; Prácticas de sostenibilidad recuperan los suelos degradados; Noticias del sector; Así ven los medios a la UPRA.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-externo-febrero-2019,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 2 - 2019, comprende el período de marzo de 2019, contiene noticias sobre: UPRA participa en taller sobre planificación responsable del uso del suelo; Minagricultura y UPRA socializan el Plan de Ordenamiento de la Producción del Arroz; La UPRA participa en la presentación del Plan de Ordenamiento Territorial Agropecuario de Antioquia; Resultados del proyecto Gobernanza en Áreas Protegidas; Noticias del sector; Así ven los medios a la UPRA.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin--1,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 3 - 2019, comprende el período de mayo de 2019, contiene noticias sobre: Gestión de información agropecuaria para asumir prioridades sectoriales; La UPRA busca consolidar un sistema de información único para la toma de decisiones en el sector agropecuario; Comienza formulación del Plan de Ordenamiento Productivo de Arroz en Colombia (2019-2038); En Bolívar el Sipra se puso en acción; Noticias del sector; Así ven los medios a la UPRA.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin--2,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 4 - 2019, comprende el período de junio de 2019, contiene noticias sobre: Sipra: herramienta tecnológica soporte para la toma de decisiones; Viva junto a la UPRA una experiencia en Agroexpo 2019; Colombia tiene madera: resolución del MADR que adopta los lineamientos y el plan de acción nacional para plantaciones forestales comerciales para obtención de madera; Noticias del sector; Así ven los medios a la UPRA.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin--3,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 5 - 2019, comprende el período de julio de 2019, contiene noticias sobre: La UPRA recibe un reconocimiento internacional por el logro en el uso de sistemas de información geográfica; La UPRA presentó en Agroexpo 2019 una herramienta clave para la planificación del campo; Ecopetrol navega en el Sipra; UPRA presenta la Estrategia Departamental de Desarrollo Agropecuario; Fondo Acción conoce la frontera agrícola; Noticias del sector; Así ven los medios a la UPRA.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin--4,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 6 - 2019, comprende el período de agosto de 2019, contiene noticias sobre: UPRA presenta avances en el Plan de Ordenamiento Productivo para la Ganadería en Colombia; Entérate de todo lo que pasa en la UPRA en solo 60 segundos; Hablamos de política pública de catastro multipropósito; UPRA vivió el primer campamento Pioneros: Desafío de la Innovación 2019; Noticias del sector; Así ven los medios a la UPRA.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin--5,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 7 - 2019, comprende el período de septiembre de 2019, contiene noticias sobre: La UPRA presenta en Agrofuturo el Sistema de Información para la Planificación Rural Agropecuaria (Sipra); La UPRA, actor fundamental en la implementación de la política de OSP en Colombia; La UPRA apoyó la construcción del Plan de Desarrollo Agropecuario del Tolima; La UPRA presentó tecnologías disruptivas para la planificación del campo colombiano en Andicom 2019; La UPRA, invitada a la Conferencia Colombiana de Usuarios Esri 2019; Noticias del sector; Así ven los medios a la UPRA.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-externo-septiembre-2019,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 8 - 2019, comprende el período de octubre de 2019, contiene noticias sobre: Por primera vez en Colombia se identifican las áreas aptas para el cultivo de pastos; La UPRA presentó el Sipra en el Consea del Cesar; La UPRA realizó el taller «Diálogo sobre lineamientos para la gestión del paisaje agropecuario»; Se identificaron desafíos de la cadena láctea en el Taller de Ordenamiento Productivo realizado por la UPRA en Caquetá; El Meta ya cuenta con una hoja de ruta agropecuaria para los próximos 20 años; Noticias del sector; Así ven los medios a la UPRA.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin--6,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 10 - 2020, comprende el período de diciembre de 2020, contiene un balance de los hitos que marcaron la gestión de la UPRA durante el año.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin-18,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín 9 - 2019, comprende el período de noviembre de 2019, contiene noticias sobre: En Congreso Agropecuario Nacional la UPRA anuncia la reactivación de la Mesa de Estadísticas Agropecuarias; La UPRA se une por primera vez al evento mundial GISday; En Cauca ven con buen futuro la zonificación; Felipe Fonseca Fino habla de la Estrategia de Desarrollo Agropecuario del Meta en Caracol Radio; Fue entregada la carta de navegación para el desarrollo del agro del Meta; Atlántico pasa la última página en proceso por el ordenamiento del campo; La Gobernación del Quindío y la UPRA trabajan en la etapa final del POPSPR; UPRA presenta la Metodología de evaluación de tierras para la zonificación con fines agropecuarios, escala general; Noticias del sector; Así ven los medios a la UPRA.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/zona-upra-boletin--7,0,5,5,NO,NO,No Aplica,NO,NO
