1. Proceso,2. Nombre del Activo,3. Descripción,4. Tipo de Activo,5. Medio de Conservación del Activo,6. Propietario,7. Custodio,8. Respaldo,9. Ubicación,10. Valoracion de Activo - Confidencialidad,10. Valoracion de Activo - Integridad,10. Valoracion de Activo - Disponibilidad,11. ¿El Activo necesita de permisos especiales para acceder?,12. El activo contiene datos personales.,13. Verificar si el activo requiere cumplimiento legal,14. El activo requiere protección especial,15.¿El activo es para uso exclusivo del propietario o responsable?
Gestión del conocimiento y comunicaciones,Publicaciones,Bases conceptuales regularización propiedad rural y acceso a tierras,Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/documents/10184/13821/Regularizaci%C3%B3n_propiedad_rural_acceso_a_tierras,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 004, con corte a 11 de septiembre de 2013, contiene noticias sobre criterios y lineamientos para la formalización de la propiedad rural y conversatorios en torno a la planificación rural agropecuaria.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-004,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 005, con corte a 12 de noviembre de 2013, contiene noticias sobre mercado de tierras: validación en Tolima y Meta, comienzo de la elaboración de plan de ordenamiento social de la propiedad rural en Colombia, avances del proyecto de zonificación de plantaciones forestales comerciales.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-005,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 006, con corte a 20 de diciembre de 2013, contiene noticias sobre la planificación de los usos del suelo rural, mercado de tierras, pacto por el uso eficiente del agua, la audiencia de rendición de cuentas y la presentación de resultados UPRA 2013.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-006,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 007, comprende el período de enero a marzo de 2014, contiene noticias sobre: UPRA por la planificación rural agropecuaria en los diálogos regionales de MinAgricultura, nuevo modelo en el sector agropecuario, Con asistencia técnica de la Unión Europea la UPRA inicia la construcción de un observatorio del mercado de tierras rurales, Pacto nacional por el agro y el desarrollo rural, UPRA y CIAT unidos por la gestión del conocimiento para la planificación agropecuaria.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-007,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 008, comprende el período de mayo a agosto de 2014, contiene noticias sobre: Presentación del Ministro de Agricultura y Desarrollo Rural: Aurelio Iragorri Valencia, Diez departamentos aprovecharon el paso del diamante agropecuario, En Santander de Quilichao se adelantó el taller para la formulación de un plan de ordenamiento social y productivo de la propiedad rural, Avances en el diseño conceptual del Observatorio del mercado de tierras rurales en Colombia, Norte de Santander adopta instrumentos de la UPRA para el diseño de un plan de ordenamiento productivo y social de la propiedad del suelo rural, La UPRA en medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-008,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 009, comprende el período de septiembre a diciembre de 2014, contiene noticias sobre: Avances del Ministerio de agricultura frente a las metas del plan nacional de desarrollo, Agroencuentros en Popayán, UPRA acompaña proceso Pares-2015, Pensar el mapa del cacao en Colombia, Taller para perfilar una iniciativa de monitoreo del sector agrícola con base en sensores remotos e información in situ, UPRA en foro: Cuenca de la Magdalena, UPRA en diálogos área de manejo especial de la Macarena, UPRA en foro sobre agroindustria y petróleo en el Meta, Desarrollo rural y agricultura familiar en Colombia, Conozca el proyecto de Ley ZIDRES, Resultados del proyecto de fortalecimiento a la política de restitución de tierras, en Chile intercambio de experiencias sobre adecuación de tierras.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-009,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 010, comprende el período de enero a febrero de 2015, contiene noticias sobre: Informe de gestión UPRA 2014, Retos para el 2015, Trabajo conjunto ambiente - agricultura por Santurbán, Ordenamiento productivo, reto de la UPRA en 2015, Atlántico le apuesta al desarrollo agropecuario en Pares 2015, UPRA trabaja en pro del desarrollo rural en Pereira, Gobierno comprometido con el paisaje cultural cafetero, Planificación y ordenamiento pesquero, UPRA trabaja en evaluación de tierras para el Catatumbo, UPRA en medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-010,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 011, comprende el período de marzo a abril de 2015, contiene noticias sobre: MinAgricultura ahora en la radio, Presentación del balance 2014 de la UPRA, Trtagsa apoya planificación del suelo rural, UPRA y AUNAP: por el desarrollo acuícola y pesquero del país, UPRA trabaja en la planificación de la formalización de predios rurales, Regularización del mercado de tierras rurales en Colombia, Evaluación de tierras para un campo más competitivo, Agroencuentro Valledupar 2015, UPRA fortalece herramientas de divulgación de información, UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-011,0,5,5,NO,NO,No Aplica,NO,NO
Gestión del conocimiento y comunicaciones,Boletines,"Boletín No. 012, comprende el período de abril de 2015, contiene noticias sobre: El Cesar le apuesta a la planificación del campo, Ordenamiento productivo, protagonista en los escenarios de cambio climático, Oferta UPRA en Agroencuentro Valledupar, Zonificación de aptitud para acuicultura y pesca, UPRA en los medios.",Información,Digital,Asesoría de Comunicaciones,Asesoría de Comunicaciones,SI,https://www.upra.gov.co/sala-de-prensa/boletines/-/asset_publisher/c1CXlYUzO4oZ/content/boletin-012,0,5,5,NO,NO,No Aplica,NO,NO
